moviesId,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30
1,4.0,,,,4.0,,4.5,,,,,,,,2.5,,4.5,3.5,4.0,,3.5,,,,,,3.0,,,
2,,,,,,4.0,,4.0,,,,,,,,,,3.0,3.0,3.0,3.5,,,,,,4.0,,,
3,4.0,,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
4,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,,,,,4.0,,,,,5.0,,,,,,,4.0,,,,,4.0,4.5,,,,3.5,,
7,,,,,,4.0,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,
8,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
10,,,,,,3.0,,2.0,,,3.0,,,,,,,,2.0,,5.0,,,,,3.0,,,,
11,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
13,,,,,,3.0,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,
15,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
16,,,,,,4.0,,,,,,,,,,,,4.5,,,,,,,,,,2.5,,
17,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,2.0,,,,,,,,1.0,,,,,2.0,,2.5,,,,,,,,,
21,,,,3.0,4.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,
22,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,
24,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
26,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
31,,,0.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.5,,
32,,,,2.0,,4.0,,3.0,,,,,,4.0,,,,4.0,4.0,,,,3.5,3.5,,,,3.5,,
34,,,,,4.0,4.0,,5.0,,,,,,,,,,2.5,4.0,4.0,,,,,,3.0,5.0,,,
36,,,,,4.0,5.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,
39,,,,,3.0,,,3.0,,,,4.0,,3.0,,,,,,,,,,,,,,,,
41,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
43,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,2.0,,,,1.0,,3.5,,3.0,,1.0,,,,,,,,,
45,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
47,5.0,,,2.0,,4.0,,4.0,,,,,5.0,5.0,3.5,3.5,4.0,4.5,3.0,,,,,,,4.0,,3.0,,
48,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,4.0,,,
50,5.0,,,,4.0,1.0,4.5,5.0,,,,,,,,4.0,4.5,5.0,,,,,4.0,4.0,,,,3.5,3.5,
52,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
58,,,,3.0,5.0,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,
60,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,
61,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,5.0,3.5,,
64,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
65,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
66,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,,,,,,,,,,,,,,,,,3.5,2.0,,,,,,,,,,,
76,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
88,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
